ID,NAME,LAT,LNG,DESCRIPTION,IMAGE,USER
563,Place563,40.67404,-21.06357,Description563,,20
564,Place564,-21.38331,46.30457,Description564,5,20
565,Place565,-8.03514,147.42536,Description565,5,20
566,Place566,-77.11409,-114.58872,Description566,,20
567,Place567,-25.18466,92.50707,Description567,6,20
568,Place568,-17.89947,179.40343,Description568,9,20
569,Place569,-2.19165,-174.26506,Description569,5,21
570,Place570,-66.62015,163.73648,Description570,10,21
571,Place571,33.70468,-105.14751,Description571,5,21
572,Place572,61.89805,102.47882,Description572,5,21
573,Place573,-0.66545,-21.50192,Description573,9,21
574,Place574,9.22835,84.07523,Description574,10,21
575,Place575,59.57171,176.52131,Description575,5,21
576,Place576,16.76923,131.03426,Description576,9,21
577,Place577,-81.2358,82.17846,Description577,9,21
578,Place578,-41.99144,-42.27423,Description578,5,21
579,Place579,14.28121,-68.28195,Description579,10,21
580,Place580,17.92573,-113.52206,Description580,9,21
581,Place581,51.16938,-134.0568,Description581,9,21
582,Place582,28.9315,49.60005,Description582,6,21
583,Place583,-34.70844,41.56787,Description583,10,21
584,Place584,70.67144,169.71769,Description584,5,21
585,Place585,-7.45383,-141.43029,Description585,5,21
586,Place586,44.72933,-120.495,Description586,10,21
587,Place587,-47.83849,45.36124,Description587,,21
588,Place588,28.27166,135.59893,Description588,9,21
589,Place589,-49.03848,105.25795,Description589,6,21
590,Place590,-60.57848,-136.014,Description590,9,22
591,Place591,24.32968,-149.64116,Description591,5,22
592,Place592,-35.4077,-94.19395,Description592,10,22
593,Place593,-26.2162,-121.20447,Description593,,22
594,Place594,-45.15542,83.62341,Description594,6,22
595,Place595,11.9635,66.51391,Description595,10,22
596,Place596,40.13814,29.21392,Description596,5,22
597,Place597,-30.55833,76.83714,Description597,,22
598,Place598,-44.85092,44.39511,Description598,10,22
599,Place599,-30.47122,91.737,Description599,9,22
600,Place600,-50.72828,-5.91626,Description600,,22
601,Place601,-58.81226,-165.4805,Description601,,22
602,Place602,-25.03033,-75.60914,Description602,,23
603,Place603,-20.95419,166.52571,Description603,9,23
604,Place604,-2.13895,83.62492,Description604,10,23
605,Place605,-69.17369,90.14316,Description605,9,23
606,Place606,27.5985,-99.55869,Description606,,23
607,Place607,25.37815,99.82782,Description607,6,23
608,Place608,1.10933,159.42047,Description608,9,23
609,Place609,-18.17939,36.8011,Description609,9,23
610,Place610,-3.37018,17.5295,Description610,9,23
611,Place611,-29.49331,20.89272,Description611,,23
612,Place612,32.57141,98.55989,Description612,9,23
613,Place613,-34.36621,15.64387,Description613,6,23
614,Place614,-14.87904,39.80848,Description614,,23
615,Place615,10.21029,-44.65403,Description615,10,23
616,Place616,-4.64227,-89.54881,Description616,9,23
617,Place617,7.36015,24.58673,Description617,5,23
618,Place618,10.87084,-110.64744,Description618,10,23
619,Place619,-6.91594,-37.26889,Description619,6,23
620,Place620,54.47784,20.39206,Description620,5,23
621,Place621,-29.50206,64.61706,Description621,9,23
622,Place622,41.94072,-124.62699,Description622,6,23
623,Place623,-47.59822,-82.86368,Description623,,23
624,Place624,28.17813,118.82306,Description624,9,23
625,Place625,77.35443,18.73824,Description625,5,23
626,Place626,0.64943,-143.81658,Description626,9,23
627,Place627,29.85827,-175.94414,Description627,5,23
628,Place628,17.90624,138.86716,Description628,10,23
629,Place629,16.88887,115.14564,Description629,10,23
630,Place630,31.41779,-11.41291,Description630,,24
631,Place631,-42.22202,22.58662,Description631,9,24
632,Place632,22.49509,135.79209,Description632,,24
633,Place633,-61.67473,5.52045,Description633,6,24
634,Place634,-13.85038,70.01969,Description634,6,24
635,Place635,-39.5537,-26.41462,Description635,6,24
636,Place636,66.59713,-113.06314,Description636,9,24
637,Place637,29.77383,-139.50343,Description637,6,24
638,Place638,26.89132,-3.63536,Description638,10,24
639,Place639,16.50025,-150.20255,Description639,6,24
640,Place640,-15.64676,18.72948,Description640,9,24
641,Place641,-12.50547,28.74437,Description641,5,24
642,Place642,-51.0156,-95.79664,Description642,5,24
643,Place643,77.41979,-108.00333,Description643,,24
644,Place644,-58.18632,-5.17521,Description644,,24
645,Place645,-18.86169,-12.72842,Description645,10,24
646,Place646,50.3688,163.23484,Description646,5,24
647,Place647,11.73463,-8.42463,Description647,6,24
648,Place648,-15.25044,28.07201,Description648,10,24
649,Place649,-43.88013,-75.45228,Description649,,24
650,Place650,39.44793,-173.77332,Description650,6,24
651,Place651,-31.241,-179.07463,Description651,6,24
652,Place652,-8.88258,-137.38165,Description652,9,24
653,Place653,-35.88364,105.44786,Description653,5,24
654,Place654,0.29917,14.13858,Description654,,25
655,Place655,-34.7465,34.45997,Description655,5,25
656,Place656,5.51988,-173.13237,Description656,6,25
657,Place657,56.3935,-43.03319,Description657,9,25
658,Place658,-32.67306,94.79379,Description658,5,25
659,Place659,-5.80501,72.75406,Description659,5,25
660,Place660,23.30079,175.78716,Description660,6,25
661,Place661,-5.25312,179.86357,Description661,,25
662,Place662,32.74693,-39.37319,Description662,5,25
663,Place663,30.73652,-139.42798,Description663,5,25
664,Place664,-30.13907,-170.74164,Description664,9,25
665,Place665,25.50911,5.47964,Description665,9,25
666,Place666,-62.79167,-98.47069,Description666,6,25
667,Place667,14.80664,151.10256,Description667,10,25
668,Place668,15.51751,82.53291,Description668,10,25
669,Place669,9.6317,-125.41701,Description669,9,25
670,Place670,-5.45389,146.41216,Description670,6,25
671,Place671,-8.93572,102.332,Description671,5,25
672,Place672,4.87524,179.62364,Description672,5,25
673,Place673,53.14702,40.27383,Description673,6,25
674,Place674,-34.65049,-9.0695,Description674,6,25
675,Place675,-9.80212,-154.62286,Description675,9,25
676,Place676,-32.91997,33.87788,Description676,10,25
677,Place677,-41.3787,9.37552,Description677,10,25
678,Place678,64.00481,-9.73817,Description678,10,25
679,Place679,9.12154,90.11625,Description679,6,25
680,Place680,-0.48547,160.99082,Description680,5,25
681,Place681,50.45437,-37.96292,Description681,,25
682,Place682,-31.71039,-158.90403,Description682,6,25
683,Place683,18.77341,153.11354,Description683,5,25
684,Place684,84.63784,129.50176,Description684,9,25
685,Place685,-12.09916,-35.34907,Description685,5,25
686,Place686,0.90645,144.88559,Description686,6,25
687,Place687,-8.72504,-117.29578,Description687,6,25
688,Place688,-16.83043,19.86751,Description688,9,25
689,Place689,-5.37443,-63.28217,Description689,,25
690,Place690,-71.84115,-118.83131,Description690,6,25
691,Place691,-13.00033,-75.21208,Description691,6,25
692,Place692,-12.19064,-104.33294,Description692,6,25
693,Place693,-47.53032,155.72013,Description693,6,26
694,Place694,44.50975,126.43698,Description694,5,26
695,Place695,55.33059,-111.79955,Description695,,26
696,Place696,60.52875,-155.8723,Description696,10,26
697,Place697,56.55099,58.21409,Description697,10,26
698,Place698,41.32024,114.06471,Description698,5,26
699,Place699,-47.66031,-13.65917,Description699,9,26
700,Place700,-80.358,167.35715,Description700,9,26
701,Place701,-4.85642,22.35447,Description701,6,26
702,Place702,46.08023,40.87179,Description702,6,26
703,Place703,30.59628,65.08283,Description703,,26
704,Place704,16.70188,93.62728,Description704,10,26
705,Place705,60.38217,-80.66175,Description705,,26
706,Place706,-46.92395,-170.19679,Description706,9,26
707,Place707,-0.29628,151.93947,Description707,6,26
708,Place708,35.40259,80.04233,Description708,9,26
709,Place709,-32.35109,-21.93329,Description709,5,26
710,Place710,-28.03762,-128.59974,Description710,6,26
711,Place711,9.95713,146.54218,Description711,10,26
712,Place712,31.70868,-13.03594,Description712,5,26
713,Place713,58.3897,-29.14593,Description713,,26
714,Place714,9.22081,113.47867,Description714,6,26
715,Place715,-46.59813,49.08185,Description715,6,26
716,Place716,-45.05785,-97.65098,Description716,9,26
717,Place717,-55.16942,-162.57765,Description717,,26
718,Place718,25.52382,47.58962,Description718,6,26
719,Place719,-43.46068,108.57047,Description719,6,26
720,Place720,59.36605,168.13143,Description720,6,26
721,Place721,7.88649,-112.42048,Description721,10,26
722,Place722,29.51646,-26.46842,Description722,10,26
723,Place723,-44.94891,152.21488,Description723,6,28
724,Place724,-51.13259,-134.2022,Description724,,28
725,Place725,-59.45809,-84.2485,Description725,6,28
726,Place726,-6.08645,92.06799,Description726,6,28
727,Place727,30.38876,-126.47645,Description727,9,28
728,Place728,-39.05872,74.38187,Description728,5,28
729,Place729,22.71536,-34.01143,Description729,9,28
730,Place730,31.78731,94.94879,Description730,10,28
731,Place731,50.646,83.76969,Description731,10,28
732,Place732,46.51112,96.44372,Description732,,28
733,Place733,-28.39509,79.39463,Description733,5,28
734,Place734,14.52029,-124.96773,Description734,10,28
735,Place735,-0.74513,43.98753,Description735,5,28
736,Place736,-46.43923,-61.34206,Description736,5,28
737,Place737,58.23092,84.87485,Description737,5,28
738,Place738,30.02581,53.68166,Description738,6,28
739,Place739,-22.96688,59.75601,Description739,,28
740,Place740,-4.76763,141.30516,Description740,9,28
741,Place741,33.66123,-57.82238,Description741,6,28
742,Place742,-49.91625,-161.31727,Description742,5,28
743,Place743,38.67556,44.02789,Description743,10,28
744,Place744,-30.95209,-172.05721,Description744,5,28
745,Place745,20.63733,138.05472,Description745,9,28
746,Place746,-21.37893,46.23087,Description746,10,28
747,Place747,23.2222,154.87376,Description747,5,28
748,Place748,37.43554,-2.87025,Description748,10,28
749,Place749,-21.9502,78.74113,Description749,5,28
750,Place750,-10.74063,-38.61629,Description750,,28
751,Place751,21.70026,-172.20462,Description751,,28
752,Place752,-75.90324,-9.55016,Description752,10,28
753,Place753,5.33799,-84.12891,Description753,,28
754,Place754,-40.01878,172.83439,Description754,10,28
755,Place755,5.09987,-112.48903,Description755,5,28
756,Place756,4.64622,2.66676,Description756,5,28
757,Place757,-60.31045,77.22317,Description757,6,28
758,Place758,20.94088,-153.81498,Description758,6,28
759,Place759,34.78789,-12.29684,Description759,5,28
760,Place760,-76.19421,84.90913,Description760,,28
761,Place761,22.30429,-31.46326,Description761,,28
762,Place762,46.05364,-62.9385,Description762,9,28
763,Place763,-17.2747,136.00328,Description763,,28
764,Place764,21.49542,-154.80417,Description764,9,28
765,Place765,43.49831,116.05491,Description765,6,28
766,Place766,53.9367,89.53785,Description766,10,28
767,Place767,-34.79836,-26.42146,Description767,9,28
768,Place768,77.24552,-99.48838,Description768,5,28
769,Place769,78.62669,130.40118,Description769,10,28
770,Place770,-11.0615,73.26453,Description770,9,28
771,Place771,16.46123,-103.98424,Description771,9,28
772,Place772,-64.84887,170.03514,Description772,10,28
773,Place773,-22.65262,147.47348,Description773,,29
774,Place774,16.19509,-93.17327,Description774,6,29
775,Place775,-8.46764,-142.97071,Description775,5,29
776,Place776,7.17924,-11.1814,Description776,,30
777,Place777,-16.37028,42.29745,Description777,10,31
778,Place778,50.08954,133.96393,Description778,5,31
779,Place779,-48.99604,33.87798,Description779,9,31
780,Place780,-30.16848,-94.91757,Description780,6,31
781,Place781,-40.43988,46.00719,Description781,10,31
782,Place782,18.74729,161.69637,Description782,10,31
783,Place783,-1.953,-102.08537,Description783,,31
784,Place784,25.59624,-120.28228,Description784,6,31
785,Place785,26.81847,56.18216,Description785,5,31
786,Place786,39.09789,176.26092,Description786,,31
787,Place787,51.92622,32.23447,Description787,10,31
788,Place788,-35.45792,49.80537,Description788,6,31
789,Place789,85.93639,131.62323,Description789,,31
790,Place790,-20.58681,-77.31188,Description790,,31
791,Place791,-70.83293,87.74689,Description791,5,31
792,Place792,-39.19418,156.94036,Description792,9,31
793,Place793,7.46425,71.5288,Description793,10,31
794,Place794,2.58821,-19.91843,Description794,9,31
795,Place795,44.65585,-4.95535,Description795,10,31
796,Place796,-50.65075,-20.64819,Description796,9,31
797,Place797,-40.76593,-97.58161,Description797,9,31
798,Place798,-7.67717,-45.47283,Description798,6,31
799,Place799,-9.69518,51.02403,Description799,9,31
800,Place800,-65.36221,7.26456,Description800,,31
801,Place801,40.72431,161.54593,Description801,10,31
802,Place802,47.59442,-3.57536,Description802,,31
803,Place803,51.22227,77.28412,Description803,10,31
804,Place804,35.18548,27.46795,Description804,9,31
805,Place805,-18.75452,-72.09681,Description805,6,31
806,Place806,8.94181,-75.01244,Description806,6,32
807,Place807,-13.00244,-30.43496,Description807,,32
808,Place808,40.85642,77.87462,Description808,5,32
809,Place809,30.78795,149.07814,Description809,,32
810,Place810,-48.52423,-64.05046,Description810,9,32
811,Place811,-29.16119,145.33242,Description811,9,32
812,Place812,31.72744,-76.67505,Description812,10,33
813,Place813,-44.094,12.52449,Description813,9,33
814,Place814,64.46811,157.1137,Description814,10,33
815,Place815,49.5992,-146.87087,Description815,10,33
816,Place816,64.50792,-50.89087,Description816,9,33
817,Place817,-12.75522,-7.28901,Description817,,33
818,Place818,-53.96584,-42.72471,Description818,5,33
819,Place819,71.83111,-128.35366,Description819,9,33
820,Place820,17.85057,-28.23302,Description820,,33
821,Place821,-10.59465,34.56834,Description821,10,33
822,Place822,-19.96307,157.17051,Description822,6,33
823,Place823,40.90995,-169.58512,Description823,10,33
824,Place824,-25.7245,-145.76958,Description824,6,33
825,Place825,-11.79292,-66.00038,Description825,,33
826,Place826,-14.79718,-118.8868,Description826,5,33
827,Place827,15.92068,83.43945,Description827,10,33
828,Place828,27.82562,70.89245,Description828,5,33
829,Place829,-66.87414,52.45705,Description829,6,33
830,Place830,-37.79033,-128.09051,Description830,5,33
831,Place831,30.52495,-138.18923,Description831,10,33
832,Place832,-6.29482,-31.79244,Description832,9,33
833,Place833,-27.00214,133.69536,Description833,5,33
834,Place834,45.40451,6.21923,Description834,5,33
835,Place835,-51.04523,-44.28458,Description835,6,33
836,Place836,-19.88768,-62.41828,Description836,10,33
837,Place837,28.66683,-39.80533,Description837,9,34
838,Place838,-47.84674,152.4257,Description838,5,34
839,Place839,73.03099,59.41462,Description839,10,34
840,Place840,10.18418,-14.59678,Description840,,34
841,Place841,40.38141,166.86795,Description841,6,34
842,Place842,43.77378,-13.93239,Description842,5,34
843,Place843,-9.09338,-162.52685,Description843,,35
844,Place844,21.23119,-21.4419,Description844,10,35
845,Place845,0.20944,-119.70052,Description845,6,35
846,Place846,-38.65762,-46.32929,Description846,,35
847,Place847,-8.97944,31.33511,Description847,,35
848,Place848,18.80676,95.45216,Description848,,35
849,Place849,56.52969,35.34493,Description849,10,35
850,Place850,-84.24291,-53.12243,Description850,6,35
851,Place851,32.40464,36.27521,Description851,,35
852,Place852,-11.19122,5.88137,Description852,9,35
853,Place853,50.49123,-9.5468,Description853,,35
854,Place854,-14.25957,140.38841,Description854,10,35
855,Place855,-13.17151,129.12202,Description855,9,35
856,Place856,22.92083,-0.84907,Description856,5,35
857,Place857,-19.6223,-150.51611,Description857,9,35
858,Place858,-15.37112,26.75184,Description858,,35
859,Place859,23.99005,-148.99202,Description859,9,36
860,Place860,9.90577,89.06718,Description860,10,36
861,Place861,16.169,110.68642,Description861,,36
862,Place862,-61.02174,-67.73423,Description862,10,36
863,Place863,78.64814,-117.93677,Description863,,36
864,Place864,24.45696,178.06308,Description864,6,36
865,Place865,-6.91125,-50.5469,Description865,,36
866,Place866,-48.14007,-153.00208,Description866,9,36
867,Place867,9.11048,141.25453,Description867,10,36
868,Place868,-11.40133,-150.91308,Description868,6,36
869,Place869,25.29798,-44.28235,Description869,9,36
870,Place870,24.65998,-154.32188,Description870,10,36
871,Place871,-33.16485,53.64297,Description871,,36
872,Place872,60.5368,-109.37443,Description872,10,36
873,Place873,68.37948,8.27473,Description873,,36
874,Place874,7.73936,167.97023,Description874,9,36
875,Place875,5.58344,-47.93885,Description875,6,36
876,Place876,63.35735,-161.55692,Description876,5,36
877,Place877,76.78794,-85.34341,Description877,10,36
878,Place878,19.69855,-8.65034,Description878,5,36
879,Place879,43.11853,-41.03529,Description879,9,36
880,Place880,17.65623,-12.66395,Description880,10,36
881,Place881,64.49065,-69.33196,Description881,10,36
882,Place882,58.37363,159.64221,Description882,10,36
883,Place883,-52.91207,-96.10074,Description883,,36
884,Place884,15.0521,17.03808,Description884,10,36
885,Place885,46.95887,-0.58684,Description885,6,36
886,Place886,59.42717,-62.51417,Description886,9,36
887,Place887,-67.87791,-51.71008,Description887,9,36
888,Place888,-49.62477,-41.98006,Description888,6,36
889,Place889,-21.84528,61.16688,Description889,6,36
890,Place890,-3.30225,-7.96282,Description890,10,37
891,Place891,-26.20153,137.68622,Description891,9,37
892,Place892,-0.49558,-76.94533,Description892,6,37
893,Place893,-51.05976,166.91586,Description893,5,37
894,Place894,31.39978,81.26002,Description894,,37
895,Place895,35.03986,-65.1233,Description895,,37
896,Place896,-19.39746,-68.40541,Description896,,37
897,Place897,-54.20956,161.11184,Description897,9,37
898,Place898,56.36837,-98.48986,Description898,6,37
899,Place899,30.30907,2.42635,Description899,,37
900,Place900,-31.12407,87.54901,Description900,5,37
901,Place901,13.65697,73.84883,Description901,,37
902,Place902,-73.92815,54.26368,Description902,,37
903,Place903,66.99002,152.51914,Description903,9,37
904,Place904,-66.81341,-148.59375,Description904,9,37
905,Place905,38.37196,-56.84676,Description905,5,37
906,Place906,-40.6357,146.11743,Description906,10,37
907,Place907,-70.44112,5.23893,Description907,5,37
908,Place908,19.90425,146.40831,Description908,5,37
909,Place909,-59.57736,-78.58684,Description909,10,37
910,Place910,22.63252,-85.82979,Description910,,37
911,Place911,-52.40543,61.34377,Description911,9,37
912,Place912,-5.60497,72.77175,Description912,,38
913,Place913,-66.99236,-119.09217,Description913,,38
914,Place914,25.30908,42.69291,Description914,10,38
915,Place915,12.00372,-131.30642,Description915,5,38
916,Place916,-0.46113,123.03445,Description916,6,38
917,Place917,-51.64885,-110.93203,Description917,,38
918,Place918,3.48829,-126.29547,Description918,9,38
919,Place919,-33.9695,12.99242,Description919,10,38
920,Place920,61.60759,113.15537,Description920,10,38
921,Place921,-0.24767,-147.76534,Description921,6,38
922,Place922,61.59732,19.98607,Description922,6,38
923,Place923,46.56608,43.57875,Description923,5,38
924,Place924,17.65946,-22.68175,Description924,5,38
925,Place925,13.36343,-100.38868,Description925,5,38
926,Place926,45.98696,56.2512,Description926,6,38
927,Place927,3.21833,114.14143,Description927,6,38
928,Place928,37.42084,-36.63779,Description928,10,38
929,Place929,-27.34355,42.80576,Description929,5,38
930,Place930,22.65412,-91.47319,Description930,9,38
931,Place931,-47.87411,-122.77055,Description931,5,38
932,Place932,-7.96103,122.94715,Description932,10,38
933,Place933,-19.10178,46.76673,Description933,5,38
934,Place934,58.74883,-154.41012,Description934,6,38
935,Place935,-28.99807,96.1312,Description935,6,38
936,Place936,36.90698,171.12404,Description936,10,38
937,Place937,-27.08257,69.61656,Description937,9,38
938,Place938,-17.4301,-168.5929,Description938,5,38
939,Place939,-78.44156,138.77481,Description939,5,38
940,Place940,49.86718,112.0891,Description940,6,38
941,Place941,-8.82335,3.22936,Description941,9,38
942,Place942,-31.73428,160.69073,Description942,6,39
943,Place943,-34.36593,93.80212,Description943,6,39
944,Place944,-33.13848,-37.81251,Description944,6,39
945,Place945,-2.30653,33.13209,Description945,,39
946,Place946,30.1061,-44.9458,Description946,9,39
947,Place947,-16.06128,-40.54765,Description947,10,39
948,Place948,22.27111,-106.38967,Description948,,39
949,Place949,5.45062,17.88487,Description949,6,39
950,Place950,-54.73985,137.84751,Description950,9,39
951,Place951,-62.62643,86.83955,Description951,9,39
952,Place952,-76.07205,-79.46449,Description952,6,39
953,Place953,38.37035,-46.11598,Description953,9,39
954,Place954,45.50012,-117.37072,Description954,6,39
955,Place955,0.81706,119.98261,Description955,6,39
956,Place956,7.85764,160.10289,Description956,6,39
957,Place957,-22.79029,-3.62163,Description957,5,39
958,Place958,-35.41289,36.30021,Description958,,39
959,Place959,77.35139,-160.86922,Description959,5,39
960,Place960,-64.56901,-148.41972,Description960,10,39
961,Place961,-19.23364,132.83819,Description961,10,39
962,Place962,28.36521,-27.22682,Description962,10,39
963,Place963,-7.33348,172.68625,Description963,9,39
964,Place964,40.18019,129.63658,Description964,9,39
965,Place965,76.05952,-57.75427,Description965,6,39
966,Place966,-17.89294,14.21751,Description966,,39
967,Place967,-60.98828,101.46784,Description967,,39
968,Place968,59.99229,-45.477,Description968,9,39
969,Place969,-61.25527,69.83748,Description969,6,39
970,Place970,35.72382,19.82178,Description970,10,39
971,Place971,80.60626,144.82098,Description971,,39
972,Place972,35.8546,-103.90904,Description972,6,39
973,Place973,36.32291,-40.8134,Description973,5,39
974,Place974,-25.16069,-58.13646,Description974,6,39
975,Place975,-29.15578,108.44515,Description975,6,39
976,Place976,8.4133,83.92794,Description976,,39
977,Place977,-41.03357,115.60061,Description977,6,39
978,Place978,62.39741,-98.91347,Description978,10,39
979,Place979,31.51043,-105.00891,Description979,,39
980,Place980,40.30564,-23.79359,Description980,9,39
981,Place981,26.90183,113.76637,Description981,5,39
982,Place982,-48.36582,-105.20064,Description982,10,39
983,Place983,-15.7092,53.03269,Description983,,39
984,Place984,11.84647,126.24548,Description984,,39
985,Place985,18.21972,-94.10404,Description985,,39
986,Place986,67.84403,22.33113,Description986,6,39
987,Place987,-45.45363,-65.28925,Description987,9,39
988,Place988,-33.89267,20.37449,Description988,5,39
989,Place989,-71.44555,-78.84597,Description989,10,40
990,Place990,-13.19139,-33.59459,Description990,5,40
991,Place991,-10.3588,62.37365,Description991,,40
992,Place992,-63.29243,17.12731,Description992,6,40
993,Place993,-3.27037,-138.77018,Description993,9,40
994,Place994,-22.21798,-120.47826,Description994,5,40
995,Place995,-36.20808,136.42046,Description995,6,40
996,Place996,29.81057,-141.23542,Description996,6,40
997,Place997,52.04128,59.03595,Description997,6,40
998,Place998,-34.75333,-45.48282,Description998,5,40
999,Place999,7.44331,-86.15512,Description999,5,40
1000,Place1000,-10.22296,-3.03361,Description1000,10,40
1001,Place1001,-10.55284,64.61486,Description1001,9,40
1002,Place1002,29.09782,-89.60547,Description1002,5,40
1003,Place1003,16.63908,124.30358,Description1003,,40
1004,Place1004,-0.16556,132.12004,Description1004,5,40
1005,Place1005,52.72086,-111.48299,Description1005,5,40
1006,Place1006,-50.08483,126.97604,Description1006,6,40
1007,Place1007,-47.54061,-93.01554,Description1007,9,40
1008,Place1008,-1.32814,128.17778,Description1008,5,40
1009,Place1009,-22.17195,46.59385,Description1009,6,40
1010,Place1010,-45.50609,73.33263,Description1010,,40
1011,Place1011,66.72065,45.73133,Description1011,,40
1012,Place1012,23.01472,162.64153,Description1012,,40
1013,Place1013,3.9816,141.27157,Description1013,6,40
1014,Place1014,54.40187,124.52189,Description1014,5,40
1015,Place1015,-46.89672,115.27237,Description1015,10,40
1016,Place1016,43.65315,-124.74116,Description1016,6,40
1017,Place1017,-61.89661,113.12817,Description1017,6,40
1018,Place1018,-4.09369,-122.67228,Description1018,5,40
1019,Place1019,37.83762,120.42383,Description1019,5,40
1020,Place1020,2.97163,165.57976,Description1020,10,40
1021,Place1021,-52.09165,17.93879,Description1021,,40
1022,Place1022,-24.79505,45.09627,Description1022,,40
1023,Place1023,-12.30414,7.61059,Description1023,,40
1024,Place1024,-18.56649,-64.72737,Description1024,,40
1025,Place1025,-37.02582,4.57682,Description1025,10,40
1026,Place1026,19.30065,-156.25246,Description1026,10,40
1027,Place1027,14.71836,-76.11933,Description1027,,40
1028,Place1028,-55.72461,114.2905,Description1028,10,40
1029,Place1029,-26.29418,-37.43037,Description1029,10,40
1030,Place1030,-53.49987,157.33778,Description1030,5,40
1031,Place1031,66.03532,-126.74175,Description1031,9,40
1032,Place1032,-7.05587,28.10037,Description1032,,40
1033,Place1033,-26.37288,-173.32032,Description1033,10,41
1034,Place1034,-6.2822,73.84476,Description1034,6,41
1035,Place1035,34.74599,136.16951,Description1035,9,41
1036,Place1036,-22.68002,115.55209,Description1036,6,41
1037,Place1037,-16.25711,-31.76446,Description1037,9,41
1038,Place1038,10.05763,161.02114,Description1038,10,41
1039,Place1039,72.34499,135.09284,Description1039,6,41
1040,Place1040,-23.60922,110.14084,Description1040,10,41
1041,Place1041,-4.39956,99.95903,Description1041,5,41
1042,Place1042,24.48327,139.8406,Description1042,9,41
1043,Place1043,-35.56806,-33.538,Description1043,9,41
1044,Place1044,50.98395,79.1996,Description1044,9,41
1045,Place1045,-15.4883,-159.81156,Description1045,6,41
1046,Place1046,45.90182,150.81934,Description1046,6,41
1047,Place1047,27.53365,-47.64579,Description1047,9,41
1048,Place1048,11.52241,-156.48205,Description1048,,41
1049,Place1049,-11.22432,-71.46683,Description1049,10,41
1050,Place1050,-15.20202,42.57664,Description1050,6,41
1051,Place1051,34.9121,54.48594,Description1051,5,41
1052,Place1052,-63.95705,116.56456,Description1052,,41
1053,Place1053,2.07606,-154.04818,Description1053,9,41
1054,Place1054,-32.5548,-111.00678,Description1054,9,41
1055,Place1055,39.07337,-148.40675,Description1055,9,41
1056,Place1056,14.76242,-144.3555,Description1056,5,41
1057,Place1057,-8.45252,-21.31676,Description1057,10,41
1058,Place1058,23.24907,-101.92783,Description1058,9,41
1059,Place1059,-56.98337,-145.35436,Description1059,6,41
1060,Place1060,-29.05482,83.43019,Description1060,6,41
1061,Place1061,43.92983,-88.03586,Description1061,10,41
1062,Place1062,-11.92447,-159.84319,Description1062,5,41
1063,Place1063,74.5612,175.7159,Description1063,5,41
1064,Place1064,-11.14519,162.65952,Description1064,,41
1065,Place1065,15.62032,111.38098,Description1065,9,41
1066,Place1066,-48.7631,97.08825,Description1066,6,41
1067,Place1067,-7.48604,166.04491,Description1067,6,41
1068,Place1068,-69.68012,64.61543,Description1068,5,41
1069,Place1069,30.3109,-175.40564,Description1069,5,41
1070,Place1070,-47.7277,-62.91964,Description1070,9,41
1071,Place1071,-32.49542,-174.93635,Description1071,6,41
1072,Place1072,-1.20874,-148.53809,Description1072,5,41
1073,Place1073,-2.53621,19.54233,Description1073,5,41
1074,Place1074,37.96332,6.49878,Description1074,,41
1075,Place1075,50.67512,163.87358,Description1075,5,41
1076,Place1076,29.56793,-0.81896,Description1076,9,41
1077,Place1077,31.75474,-104.16889,Description1077,9,42
1078,Place1078,1.26827,75.91186,Description1078,9,42
1079,Place1079,-2.63933,-138.361,Description1079,6,42
1080,Place1080,-35.93923,-125.31197,Description1080,6,42
1081,Place1081,57.44731,-70.52577,Description1081,10,42
1082,Place1082,-13.28165,-80.13089,Description1082,10,42
1083,Place1083,34.86329,49.42953,Description1083,6,42
1084,Place1084,86.62113,8.05945,Description1084,5,43
1085,Place1085,-23.14215,-147.11491,Description1085,6,43
1086,Place1086,-6.57988,9.05366,Description1086,10,43
1087,Place1087,-26.76848,93.65544,Description1087,9,43
1088,Place1088,-2.52989,35.06175,Description1088,6,43
1089,Place1089,-29.92987,4.83929,Description1089,,43
1090,Place1090,28.11414,94.20206,Description1090,10,43
1091,Place1091,-39.02905,-83.66245,Description1091,10,43
1092,Place1092,-61.55156,93.11169,Description1092,,43
1093,Place1093,-10.60157,-60.81089,Description1093,10,43
1094,Place1094,68.47853,-133.24646,Description1094,10,43
1095,Place1095,-42.43176,65.88352,Description1095,5,44
1096,Place1096,-15.62274,-121.56133,Description1096,5,44
1097,Place1097,66.24791,-129.32704,Description1097,6,44
1098,Place1098,-16.7228,63.47033,Description1098,6,45
1099,Place1099,-49.37329,-55.71271,Description1099,,45
1100,Place1100,-5.32156,-61.21605,Description1100,10,45
1101,Place1101,-63.27121,-45.44072,Description1101,9,45
1102,Place1102,52.22272,-27.38616,Description1102,10,45
1103,Place1103,-66.94941,63.28106,Description1103,9,45
1104,Place1104,23.53244,-25.37112,Description1104,9,45
1105,Place1105,-30.24404,-167.1428,Description1105,10,45
1106,Place1106,-52.50055,129.14544,Description1106,10,45
1107,Place1107,-6.32127,48.46807,Description1107,9,45
1108,Place1108,-8.94274,-146.51482,Description1108,,45
1109,Place1109,-8.27128,-43.24059,Description1109,6,45
1110,Place1110,47.85697,68.00645,Description1110,5,45
1111,Place1111,13.69664,83.64146,Description1111,5,45
